username,data_samples
"Suman Sapkota, thunder warrior",1967
"Anonymous User, heroKtoMoh",1469
Shikha Adhikari,972
Sushant,503
Santosh Kunwar,484
My stinky ***,473
"Shishir Acharya, ccrhra",466
sushan kattel,455
Vj,441
Manoj kumal,438
Karan Pant,418
Upen,390
V1v3k,365
Kajal yadav ( kaju),359
Ambika sapkota yadav,357
"Sujana Thapa, Suzz",343
Ujjwal Sapkota,340
Nripendra ,338
A,316
Ridima yadav ( nanu),259
sumanmhr,257
"Rewan Gautam, RAY",234
"Subodh Maharjan, Zippy",175
NibbaKtoMoh,159
wannahelp,153
Kajal yadav  (kaju),131
el'kun,131
Utsav Sapkota,128
ssssh,124
Niraj sapkota,122
Yogesh,119
Anjil Bohora,118
Niroj Dahal,104
Prashant zayadav. (Stoke),104
Damimanche ma,102
Sujan Mishra MRR,100
"Anonymous User, Azul",92
Bhuwan Bhatt,81
Anonymous User,79
Lakpa Tamang,78
anoop007,68
Bijay Pandey,61
hackerboi69420,50
"Sulav Thapaliya,Civil Engineer",49
Bagh,48
Prayash Shrestha,39
Bibek dai,34
Suman sapkota,33
"Anup Pandey,anupp1",30
newuser123,28
Kusal thapa,22
Himanshu yadav.(Rohan),15
NepalKtoMoh,15
"Alkesh Nepal, 911",15
"Suma Sapktoa, developer",15
Riyush yadav( don),14
Nripendra,14
"Anonymous User, suman",13
RB,12
Paudel Bikram,12
MurkhaRaGaribCoderMoh,12
wendy,12
Buddhasagar Shah.(Avinash),11
